"name","shelf_life","type","location"
"Product_70",339,"Ingredient","622 Winston St."
"Product_71",144,"Mixer","56 Twombly St."
"Product_72",143,"Liquor","116 Dixon St."
"Product_73",282,"Liquor","541 Deremer St."
"Product_74",264,"Liquor","136 Wilkins St."
"Product_75",288,"Liquor","560 Flemming St."
"Product_76",118,"Ingredient","602 Thomas St."
"Product_77",157,"Mixer","945 Taylor St."
"Product_78",292,"Mixer","644 Mateo St."
"Product_79",97,"Ingredient","412 Thompson St."
"Product_80",275,"Ingredient","157 Austin St."
"Product_81",225,"Liquor","944 Gonzales St."
"Product_82",61,"Ingredient","401 Beebe St."
"Product_83",229,"Liquor","68 Vargas St."
"Product_84",57,"Liquor","60 Shaw St."
"Product_85",309,"Ingredient","627 Satterfield St."
"Product_86",293,"Liquor","674 Heald St."
"Product_87",160,"Liquor","141 Mitchel St."
"Product_88",323,"Ingredient","536 Pritchard St."
"Product_89",308,"Ingredient","130 Lamoureux St."
"Product_90",180,"Liquor","344 Dupuy St."
"Product_91",348,"Liquor","270 Shoup St."
"Product_92",174,"Liquor","509 Carver St."
"Product_93",293,"Liquor","880 Parson St."
"Product_94",83,"Liquor","792 Lee St."
"Product_95",49,"Liquor","119 Freeman St."
"Product_96",228,"Mixer","880 Eastburn St."
"Product_97",53,"Ingredient","373 Figueroa St."
"Product_98",225,"Mixer","567 Pegg St."
"Product_99",182,"Ingredient","330 Black St."
"Product_100",323,"Ingredient","586 Houston St."
"Product_101",241,"Ingredient","184 Gibson St."
"Product_102",320,"Liquor","71 Ocheltree St."
"Product_103",327,"Mixer","89 Lacey St."
"Product_104",65,"Liquor","299 Meier St."
"Product_105",249,"Liquor","476 Doyle St."
"Product_106",199,"Mixer","923 Mcdonough St."
"Product_107",71,"Mixer","955 Horn St."
"Product_108",353,"Liquor","652 Loaiza St."
"Product_109",217,"Mixer","778 Sell St."
"Product_110",291,"Liquor","543 Protain St."
"Product_111",111,"Liquor","996 Mooberry St."
"Product_112",62,"Mixer","944 Stevens St."
"Product_113",53,"Liquor","918 Mcbride St."
"Product_114",364,"Mixer","518 Nelson St."
"Product_115",206,"Mixer","582 Taylor St."
"Product_116",69,"Ingredient","299 Matthews St."
"Product_117",199,"Ingredient","852 Nero St."
"Product_118",52,"Liquor","240 White St."
"Product_119",122,"Ingredient","112 Morris St."
"Product_120",340,"Mixer","322 Wyatt St."
"Product_121",205,"Mixer","463 Holland St."
"Product_122",288,"Ingredient","162 Vanfleet St."
"Product_123",287,"Liquor","618 Brown St."
"Product_124",52,"Ingredient","729 Black St."
"Product_125",98,"Mixer","51 Dayton St."
"Product_126",126,"Liquor","975 Small St."
"Product_127",239,"Mixer","564 Palmer St."
"Product_128",217,"Ingredient","125 Johnson St."
"Product_129",316,"Ingredient","844 Oneal St."
"Product_130",258,"Ingredient","87 Gallardo St."
"Product_131",355,"Liquor","67 Flores St."
"Product_132",143,"Mixer","95 Breedon St."
"Product_133",357,"Mixer","965 Vaughan St."
"Product_134",291,"Ingredient","842 Louie St."
"Product_135",74,"Mixer","700 Lowery St."
"Product_136",311,"Mixer","282 Lawson St."
"Product_137",32,"Mixer","635 Gresham St."
"Product_138",292,"Mixer","422 Vanderhorst St."
"Product_139",265,"Ingredient","287 Figueroa St."
"Product_140",241,"Mixer","906 Grinnell St."
"Product_141",313,"Liquor","814 Johnson St."
"Product_142",132,"Liquor","492 Sadler St."
"Product_143",84,"Liquor","515 Lucas St."
"Product_144",191,"Mixer","327 Dowling St."
"Product_145",95,"Liquor","829 Ziler St."
"Product_146",91,"Ingredient","239 Manylath St."
"Product_147",215,"Ingredient","247 Snyder St."
"Product_148",124,"Mixer","867 Rodvold St."
"Product_149",260,"Liquor","181 Henry St."
"OTHER",19,"Bitters","Suite 13"
"Tonic Water",208,"Non-alcoholic Spirits","Suite 80"
"Dry Vermouth",273,"Beers","Room 934"
"Grenadine",187,"Wines","19th Floor"
"Sparkling Water",216,"Pre-mixed Cocktails","PO Box 25149"
"Añejo",199,"Syrups & Sweeteners","Room 23"
"Orange Liqueur",157,"Spirits","Apt 1708"
"OTHER",309,"Bar Tools & Accessories","3rd Floor"
"Crushed Ice",59,"Syrups & Sweeteners","15th Floor"
"Salt Rim Mix",158,"Garnishes","Room 973"
"Melon Liqueur",53,"Salt & Rimming Mixes","Suite 99"
"OTHER",153,"Glassware","4th Floor"
"Energy Drink",210,"Spirits","Suite 30"
"Single Malt Scotch",254,"Mineral & Sparkling Waters","Suite 13"
"Gin",122,"Syrups & Sweeteners","6th Floor"
"White Rum",124,"Cocktail Ingredients","10th Floor"
"Tequila",182,"Glassware","4th Floor"
"Sweet Vermouth",305,"Cocktail Ingredients","PO Box 11129"
"Herbal Liqueur",319,"Cocktail Ingredients","Apt 1962"
"Sparkling Water",155,"Glassware","18th Floor"
"Sugar Syrup",362,"Salt & Rimming Mixes","Suite 71"
"Salt Rim Mix",153,"Mixers","Room 487"
"Vodka",356,"Mixers","Suite 99"
"Single Malt Scotch",278,"Glassware","Suite 13"
"Dark Rum",226,"Salt & Rimming Mixes","PO Box 55240"
"Orange Liqueur",72,"Syrups & Sweeteners","Apt 1962"
"Triple Sec",154,"Mixers","Room 1176"
"Fruit Syrup",348,"Garnishes","Room 1632"
"Energy Drink",161,"Cocktail Ingredients","14th Floor"
"Soda",349,"Wines","13th Floor"
"Lemon-Lime Soda",292,"Vermouths & Fortified Wines","Room 1421"
"Sugar Syrup",56,"Spirits","3rd Floor"
"Salt Rim Mix",333,"Beers","Apt 1229"
"Vodka",169,"Energy Drinks","Apt 1708"
"Single Malt Scotch",253,"Soft Drinks","Apt 482"
"Dry Vermouth",144,"Beers","Suite 69"
"Ginger Beer",208,"Glassware","14th Floor"
"Sparkling Water",332,"Juices","Suite 12"
"Crushed Ice",121,"Garnishes","Suite 70"
"Salt Rim Mix",75,"Energy Drinks","Apt 1412"
"Bourbon",165,"Ice & Chilling Products","Room 572"
"White Rum",194,"Salt & Rimming Mixes","8th Floor"
"Tequila",339,"Syrups & Sweeteners","Apt 563"
"Orange Liqueur",216,"Pre-mixed Cocktails","13th Floor"
"Sparkling Water",65,"Garnishes","13th Floor"
"Salt Rim Mix",55,"Soft Drinks","8th Floor"
"Bourbon",304,"Syrups & Sweeteners","Apt 482"
